{'opt received': '110', 'loops': '16', 'time': '84', 'opt': '98'}
{'opt received': '110', 'loops': '19', 'time': '95', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '82', 'opt': '98'}
{'opt received': '110', 'loops': '18', 'time': '96', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '109', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '75', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '101', 'opt': '98'}
{'opt received': '110', 'loops': '19', 'time': '96', 'opt': '98'}
{'opt received': '110', 'loops': '19', 'time': '100', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '97', 'opt': '98'}
{'opt received': '110', 'loops': '15', 'time': '80', 'opt': '98'}
{'opt received': '110', 'loops': '16', 'time': '80', 'opt': '99'}
{'opt received': '110', 'loops': '20', 'time': '97', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '110', 'opt': '98'}
{'opt received': '110', 'loops': '20', 'time': '105', 'opt': '98'}
{'opt received': '110', 'loops': '14', 'time': '72', 'opt': '99'}
{'opt received': '110', 'loops': '20', 'time': '103', 'opt': '98'}
{'opt received': '110', 'loops': '17', 'time': '86', 'opt': '98'}
{'opt received': '110', 'loops': '16', 'time': '100', 'opt': '99'}
{'opt received': '110', 'loops': '18', 'time': '96', 'opt': '99'}
